Store,Panda YTD Spend,Panda Units,Units/SKU,Proposal Total,PDF Filename
[NVNA] Nirvana Otis Orchards - VMI - 1WT,57878.06,7666,16,411.36,[NVNA] Nirvana Otis Orchards - VMI - 1WT PICC Proposal.pdf
[HAH] Have A Heart Ocean Shores - VMI - 1WT,57662.27,13265,16,411.36,[HAH] Have A Heart Ocean Shores - VMI - 1WT PICC Proposal.pdf
Tokeland Cannabis,56576.65,9527,16,411.36,Tokeland Cannabis PICC Proposal.pdf
[VLT] Vault Seattle,56531.9,8043,16,411.36,[VLT] Vault Seattle PICC Proposal.pdf
[BBD] Better Buds Silverdale - VMI - 1WT,56259.81,10328,16,411.36,[BBD] Better Buds Silverdale - VMI - 1WT PICC Proposal.pdf
Freeland Cannabis - 1WT,54468.62,8044,16,411.36,Freeland Cannabis - 1WT PICC Proposal.pdf
King Cronic - VMI,53809.28,8096,16,411.36,King Cronic - VMI PICC Proposal.pdf
[FBG] Fillabong Silverdale,53592.69,5777,16,411.36,[FBG] Fillabong Silverdale PICC Proposal.pdf
Cannabis Super Store - VMI - 1WT,53406.14,8345,16,411.36,Cannabis Super Store - VMI - 1WT PICC Proposal.pdf
Toker Friendly - VMI - 1WT,51595.88,6269,16,411.36,Toker Friendly - VMI - 1WT PICC Proposal.pdf
[LINK] The Link Cannabis Co Longview - 1WT,51571.93,8662,16,411.36,[LINK] The Link Cannabis Co Longview - 1WT PICC Proposal.pdf
[BHUT] Bud Hut Everett - VMI - 1WT,51532.0,8947,16,411.36,[BHUT] Bud Hut Everett - VMI - 1WT PICC Proposal.pdf
[CRFT] Craft Cannabis South Wenatchee - VMI - 1WT,51457.27,8809,16,411.36,[CRFT] Craft Cannabis South Wenatchee - VMI - 1WT PICC Proposal.pdf
420 Spot Shop - 1WT,51128.93,10376,15,385.65,420 Spot Shop - 1WT PICC Proposal.pdf
[BHUT] Bud Hut Friday Harbor - VMI - 1WT,49129.8,8924,15,385.65,[BHUT] Bud Hut Friday Harbor - VMI - 1WT PICC Proposal.pdf
Green Life Cannabis - VMI - 1WT,49075.36,9541,15,385.65,Green Life Cannabis - VMI - 1WT PICC Proposal.pdf
The Root Cellar - VMI - 1WT,48898.89,10302,15,385.65,The Root Cellar - VMI - 1WT PICC Proposal.pdf
[HLF] Redmond Leaf Downtown - 1WT,47841.39,7751,15,385.65,[HLF] Redmond Leaf Downtown - 1WT PICC Proposal.pdf
[PZN] Pot Zone Tacoma - VMI - 1WT,46036.81,9364,15,385.65,[PZN] Pot Zone Tacoma - VMI - 1WT PICC Proposal.pdf
[KSHY] Ounces and Eighths Monroe - VMI - 1WT,46010.57,9747,15,385.65,[KSHY] Ounces and Eighths Monroe - VMI - 1WT PICC Proposal.pdf
[BHUT] Golden Dispensaries - VMI - 1WT,45821.82,8598,15,385.65,[BHUT] Golden Dispensaries - VMI - 1WT PICC Proposal.pdf
Westside 420 Recreational - 1WT,44792.35,6653,15,385.65,Westside 420 Recreational - 1WT PICC Proposal.pdf
[HAH] Have A Heart Bothell - VMI - 1WT,44596.52,9714,15,385.65,[HAH] Have A Heart Bothell - VMI - 1WT PICC Proposal.pdf
Growers Outlet,44335.5,9838,15,385.65,Growers Outlet PICC Proposal.pdf
[ZIA] Cutie Judy's - VMI - 1WT,43695.39,6232,15,385.65,[ZIA] Cutie Judy's - VMI - 1WT PICC Proposal.pdf
STONR Cannabis - VMI - 1WT,43500.11,6473,15,385.65,STONR Cannabis - VMI - 1WT PICC Proposal.pdf
[LVLY] Lovely Buds Division - VMI,42298.75,5120,15,385.65,[LVLY] Lovely Buds Division - VMI PICC Proposal.pdf
[TNDR] Thunder Cannabis Olympia - 1WT,40869.02,5694,15,385.65,[TNDR] Thunder Cannabis Olympia - 1WT PICC Proposal.pdf
American Harvest - 1WT,40571.07,6657,15,385.65,American Harvest - 1WT PICC Proposal.pdf
[SCC] Super Chronic Club Lacey - 1WT,40210.05,7564,15,385.65,[SCC] Super Chronic Club Lacey - 1WT PICC Proposal.pdf
Green Dreams - 1WT,40118.44,4468,15,385.65,Green Dreams - 1WT PICC Proposal.pdf
