Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Blue Runtz LR Dabstract 1g AIO - (I),,Dabstract,,105.04,8,2026-06-08
GG #4 LR Dabstract 1g AIO - (H),,Dabstract,,105.04,8,2026-06-08
Guava Cupcakes LR Dabstract 1g AIO - (S),,Dabstract,,105.04,8,2026-06-08
Strawberry Banana Cake 1g Preroll,,Phat Panda,,105.0,70,2026-01-03
Grape Candy 1g Preroll,,Phat Panda,,105.0,70,2026-01-03
Blue Runtz LR Dabstract 1g C-Cell - (I),,Dabstract,,105.0,10,2026-06-08
Raspberry Zkittlez 1g Preroll,,Phat Panda,,105.0,70,2026-01-24
Smash Burger 1g Preroll,,Phat Panda,,105.0,70,2026-01-24
Durban Poison LR Dabstract 1g C-Cell - (S),,Dabstract,,105.0,10,2026-06-08
Black Zoap LR Dabstract 1g C-Cell - (I),,Dabstract,,105.0,10,2026-06-08
Platinum Flower (Chronberry Crunch - Platinum Line/3.5g),,Phat Panda,,105.0,12,2026-06-08
Raspberry Burger - Platinum 1g Preroll,,Phat Panda,,105.0,70,2026-01-24
Motorbreath #15 1g Preroll,,Phat Panda,,105.0,70,2026-03-01
Strawberry Kiwi Panda Candies,,Hot Sugar,,104.59,31,2026-06-08
Non GMO 28g Preroll Pack,,Phat Panda,,101.66,3,2026-06-08
Sungrown (BDP Gelato/28g),,Snickle Fritz,,100.8,5,2026-04-14
Apple MAC LR Dabstract 1g AIO - (H),,Dabstract,,100.0,8,2026-01-24
Wedding Cake LR Dabstract 1g AIO - (H),,Dabstract,,100.0,8,2026-03-01
White Runtz LR Dabstract 1g AIO - (I),,Dabstract,,100.0,8,2026-02-11
Ice Cream Cake LR Dabstract 1g AIO - (H),,Dabstract,,100.0,8,2026-02-11
MAC Zorris LR Dabstract 1g AIO - (I),,Dabstract,,100.0,8,2026-01-24
Sour Diesel LR Dabstract 1g AIO - (S),,Dabstract,,100.0,8,2026-03-01
Doughp 28g Preroll Pack,,Phat Panda,,99.99,3,2026-01-24
Dirty Martini 28g Preroll Pack,,Phat Panda,,99.99,3,2026-01-24
Phat Panda Flower (Oreoz/3.5g),,Phat Panda,,99.96,12,2026-05-03
Phat Panda Flower (Raspberry Kush/3.5g),,Phat Panda,,99.96,12,2026-05-03
Hybrid - Berry Gelato Sparklers,,Phat Panda,,99.9,30,2026-01-24
Golden Pineapple LR Dabstract Cake Icing - (S),,Dabstract,,98.4,16,2026-06-08
Huckleberry CBN Gummies,,Hot Sugar,,98.0,14,2026-03-01
Trophy Wife 10g Mega Roll,,Phat Panda,,97.98,7,2026-06-08
Sativa - Guava Diesel,,Micro Bar,,96.68,9,2026-05-03
Platinum Flower (Trophy Wife - Platinum Line/14g),,Phat Panda,,96.12,4,2026-04-14
Watermelon Panda Candies,,Hot Sugar,,94.94,28,2026-05-18
Colorado Chem 1g Preroll,,Phat Panda,,94.8,60,2026-05-18
